"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 11:37:04,-67,-66,-72,-58
2021-03-15 11:37:05,-67,-61,-73,-59
2021-03-15 11:37:05,-68,-64,-71,-60
2021-03-15 11:37:07,-68,-63,-72,-58
2021-03-15 11:37:17,-68,-64,-73,-58
2021-03-15 11:37:17,-68,-65,-72,-59
2021-03-15 11:37:17,-67,-62,-72,-58
2021-03-15 11:37:18,-67,-64,-71,-58
2021-03-15 11:37:21,-67,-64,-72,-58
2021-03-15 11:37:39,-68,-64,-72,-57
2021-03-15 11:37:39,-67,-64,-72,-58
2021-03-15 11:37:39,-67,-63,-73,-57
2021-03-15 11:37:39,-68,-62,-72,-59
2021-03-15 11:37:39,-68,-64,-71,-58
2021-03-15 11:37:45,-67,-63,-72,-58
2021-03-15 11:37:49,-68,-64,-71,-59
2021-03-15 11:37:50,-68,-65,-71,-56
2021-03-15 11:37:53,-67,-65,-72,-59
2021-03-15 11:37:55,-68,-64,-73,-58
2021-03-15 11:37:57,-67,-65,-72,-58
2021-03-15 11:38:00,-67,-65,-72,-59
2021-03-15 11:38:02,-67,-64,-73,-58
2021-03-15 11:38:05,-69,-63,-72,-58
2021-03-15 11:38:07,-66,-64,-71,-58
2021-03-15 11:38:10,-67,-64,-73,-58
2021-03-15 11:38:12,-68,-66,-72,-57
2021-03-15 11:38:15,-67,-64,-73,-58
2021-03-15 11:38:17,-67,-63,-72,-58
2021-03-15 11:38:19,-67,-62,-71,-59
2021-03-15 11:38:22,-67,-64,-71,-58
2021-03-15 11:38:25,-68,-65,-72,-56
2021-03-15 11:38:27,-67,-63,-71,-58
2021-03-15 11:38:29,-67,-64,-72,-58
2021-03-15 11:38:33,-68,-64,-73,-58
2021-03-15 11:38:35,-67,-64,-73,-59
2021-03-15 11:38:36,-68,-64,-71,-62
2021-03-15 11:38:39,-68,-63,-72,-59
2021-03-15 11:38:41,-68,-63,-72,-57
2021-03-15 11:38:43,-68,-65,-71,-59
2021-03-15 11:38:46,-67,-66,-71,-59
2021-03-15 11:38:48,-68,-62,-72,-58
2021-03-15 11:38:51,-67,-64,-71,-58
2021-03-15 11:38:54,-68,-65,-73,-57
2021-03-15 11:38:56,-66,-64,-72,-58

