"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 11:44:59,-66,-62,-70,-58
2021-03-15 11:45:02,-66,-61,-70,-60
2021-03-15 11:45:04,-66,-59,-72,-61
2021-03-15 11:45:07,-64,-60,-69,-60
2021-03-15 11:45:09,-66,-63,-70,-58
2021-03-15 11:45:11,-66,-62,-70,-59
2021-03-15 11:45:14,-67,-60,-69,-60
2021-03-15 11:45:16,-67,-62,-70,-60
2021-03-15 11:45:18,-67,-62,-70,-60
2021-03-15 11:45:22,-63,-62,-70,-58
2021-03-15 11:45:24,-66,-62,-70,-60
2021-03-15 11:45:26,-67,-62,-72,-56
2021-03-15 11:45:28,-66,-62,-71,-60
2021-03-15 11:45:31,-67,-62,-71,-60
2021-03-15 11:45:35,-66,-62,-72,-60
2021-03-15 11:45:44,-67,-62,-70,-56
2021-03-15 11:45:44,-66,-62,-71,-59
2021-03-15 11:45:44,-65,-60,-71,-60
2021-03-15 11:45:46,-67,-62,-72,-60
2021-03-15 11:45:48,-66,-60,-72,-58
2021-03-15 11:45:51,-66,-62,-71,-60
2021-03-15 11:45:53,-66,-62,-71,-60
2021-03-15 11:45:56,-66,-62,-69,-58
2021-03-15 11:45:58,-66,-63,-70,-59
2021-03-15 11:46:01,-66,-62,-70,-59
2021-03-15 11:46:04,-67,-61,-71,-60
2021-03-15 11:46:06,-65,-62,-71,-60
2021-03-15 11:46:09,-65,-60,-70,-59
2021-03-15 11:46:13,-66,-62,-71,-60
2021-03-15 11:46:14,-67,-62,-71,-60
2021-03-15 11:46:17,-64,-62,-69,-60
2021-03-15 11:46:19,-67,-61,-70,-59
2021-03-15 11:46:22,-65,-61,-71,-60
2021-03-15 11:46:25,-66,-59,-71,-59
2021-03-15 11:46:28,-66,-62,-70,-59
2021-03-15 11:46:30,-66,-59,-70,-60
2021-03-15 11:46:33,-65,-62,-71,-60
2021-03-15 11:46:36,-66,-62,-72,-60
2021-03-15 11:46:38,-65,-62,-70,-60
2021-03-15 11:46:41,-67,-62,-71,-61
2021-03-15 11:46:44,-65,-62,-69,-60
2021-03-15 11:46:46,-66,-62,-69,-60
2021-03-15 11:46:49,-67,-59,-70,-60
2021-03-15 11:46:52,-66,-62,-71,-60
2021-03-15 11:46:55,-66,-61,-71,-59
2021-03-15 11:46:57,-66,-62,-71,-59
2021-03-15 11:47:00,-66,-60,-70,-60

