"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 11:09:00,-51,-59,-63,-72
2021-03-15 11:09:31,-52,-61,-64,-71
2021-03-15 11:09:34,-52,-62,-63,-70
2021-03-15 11:09:36,-53,-60,-63,-71
2021-03-15 11:09:40,-52,-61,-63,-70
2021-03-15 11:09:41,-53,-61,-61,-70
2021-03-15 11:09:43,-52,-61,-62,-70
2021-03-15 11:09:46,-52,-59,-64,-70
2021-03-15 11:09:48,-52,-63,-64,-70
2021-03-15 11:09:50,-54,-62,-63,-70
2021-03-15 11:09:53,-52,-63,-62,-70
2021-03-15 11:09:55,-55,-59,-63,-71
2021-03-15 11:09:57,-52,-63,-63,-71
2021-03-15 11:10:00,-52,-61,-63,-70
2021-03-15 11:10:02,-52,-61,-62,-71
2021-03-15 11:10:04,-52,-61,-63,-71
2021-03-15 11:10:06,-52,-61,-63,-70
2021-03-15 11:10:09,-52,-63,-63,-70
2021-03-15 11:10:11,-52,-63,-63,-70
2021-03-15 11:10:13,-52,-63,-63,-70
2021-03-15 11:10:16,-52,-61,-63,-71
2021-03-15 11:10:18,-52,-63,-63,-70
2021-03-15 11:10:21,-52,-59,-63,-70
2021-03-15 11:10:23,-53,-62,-63,-70
2021-03-15 11:10:25,-52,-61,-63,-70
2021-03-15 11:10:28,-53,-60,-61,-71
2021-03-15 11:10:31,-52,-63,-63,-70
2021-03-15 11:10:33,-52,-61,-63,-70
2021-03-15 11:10:35,-52,-61,-62,-70
2021-03-15 11:10:38,-53,-61,-63,-70
2021-03-15 11:10:40,-53,-63,-64,-70
2021-03-15 11:10:43,-53,-62,-63,-70
2021-03-15 11:10:45,-52,-63,-62,-70
2021-03-15 11:10:48,-52,-61,-63,-70
2021-03-15 11:10:50,-53,-61,-63,-70
2021-03-15 11:10:53,-52,-58,-63,-71
2021-03-15 11:10:55,-52,-62,-63,-71
2021-03-15 11:10:58,-52,-61,-63,-71

