"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 16:57:30,-60,-58,-54,-56
2021-03-16 16:57:32,-61,-57,-54,-57
2021-03-16 16:57:35,-61,-58,-54,-57
2021-03-16 16:57:38,-61,-58,-53,-57
2021-03-16 16:57:40,-60,-57,-53,-58
2021-03-16 16:57:43,-60,-56,-54,-56
2021-03-16 16:57:46,-62,-58,-54,-55
2021-03-16 16:57:49,-60,-57,-52,-57
2021-03-16 16:57:52,-61,-54,-54,-56
2021-03-16 16:57:54,-59,-58,-52,-57
2021-03-16 16:57:57,-60,-56,-54,-57
2021-03-16 16:57:59,-60,-57,-54,-57
2021-03-16 16:58:02,-61,-58,-54,-57
2021-03-16 16:58:07,-60,-55,-54,-57
2021-03-16 16:58:10,-60,-57,-54,-52
2021-03-16 16:58:13,-60,-57,-54,-57
2021-03-16 16:58:16,-60,-56,-53,-54
2021-03-16 16:58:18,-60,-59,-55,-57
2021-03-16 16:58:21,-60,-58,-52,-57
2021-03-16 16:58:24,-60,-57,-54,-58
2021-03-16 16:58:26,-60,-58,-53,-56
2021-03-16 16:58:29,-60,-57,-53,-57
2021-03-16 16:58:32,-60,-59,-54,-57
2021-03-16 16:58:32,-60,-57,-54,-57
2021-03-16 16:58:34,-60,-57,-53,-57
2021-03-16 16:58:37,-61,-57,-52,-58
2021-03-16 16:58:40,-60,-57,-53,-57
2021-03-16 16:58:43,-61,-58,-53,-56
2021-03-16 16:58:45,-61,-57,-54,-57
2021-03-16 16:58:50,-60,-55,-55,-57
2021-03-16 16:58:53,-60,-57,-54,-56
2021-03-16 16:58:53,-61,-57,-54,-55
2021-03-16 16:58:56,-61,-56,-54,-53
2021-03-16 16:58:58,-61,-57,-50,-57
2021-03-16 16:59:01,-60,-57,-55,-57
2021-03-16 16:59:04,-60,-58,-55,-57
2021-03-16 16:59:07,-60,-57,-54,-57
2021-03-16 16:59:09,-60,-57,-55,-56
2021-03-16 16:59:12,-61,-57,-54,-57
2021-03-16 16:59:15,-60,-55,-52,-57
2021-03-16 16:59:17,-60,-57,-54,-57
2021-03-16 16:59:20,-60,-56,-55,-56
2021-03-16 16:59:23,-60,-57,-54,-58
2021-03-16 16:59:25,-61,-56,-54,-56

