"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 17:11:02,-57,-51,-55,-68
2021-03-16 17:11:04,-57,-51,-56,-67
2021-03-16 17:11:07,-57,-51,-57,-67
2021-03-16 17:11:10,-57,-50,-55,-68
2021-03-16 17:11:12,-57,-52,-56,-68
2021-03-16 17:11:15,-57,-51,-57,-68
2021-03-16 17:11:17,-57,-51,-56,-67
2021-03-16 17:11:20,-58,-50,-56,-68
2021-03-16 17:11:22,-58,-51,-55,-67
2021-03-16 17:11:25,-57,-51,-56,-67
2021-03-16 17:11:30,-57,-51,-56,-68
2021-03-16 17:11:33,-57,-52,-56,-68
2021-03-16 17:11:33,-57,-50,-56,-68
2021-03-16 17:11:35,-57,-51,-56,-68
2021-03-16 17:11:38,-56,-51,-57,-68
2021-03-16 17:11:40,-57,-50,-56,-68
2021-03-16 17:11:43,-56,-51,-56,-67
2021-03-16 17:11:45,-57,-51,-56,-68
2021-03-16 17:11:48,-57,-51,-56,-67
2021-03-16 17:11:51,-57,-51,-56,-67
2021-03-16 17:11:53,-57,-51,-56,-67
2021-03-16 17:11:55,-57,-51,-56,-68
2021-03-16 17:11:58,-58,-51,-56,-67
2021-03-16 17:12:00,-57,-51,-56,-68
2021-03-16 17:12:03,-57,-51,-56,-68
2021-03-16 17:12:06,-57,-50,-56,-68
2021-03-16 17:12:08,-57,-51,-56,-68
2021-03-16 17:12:11,-56,-51,-56,-68
2021-03-16 17:12:16,-57,-52,-56,-68
2021-03-16 17:12:16,-57,-51,-56,-67
2021-03-16 17:12:19,-57,-51,-56,-68
2021-03-16 17:12:21,-57,-51,-56,-68
2021-03-16 17:12:24,-57,-51,-56,-67
2021-03-16 17:12:27,-57,-51,-56,-67
2021-03-16 17:12:29,-58,-52,-53,-68
2021-03-16 17:12:32,-57,-52,-54,-68
2021-03-16 17:12:34,-57,-51,-54,-68
2021-03-16 17:12:37,-57,-51,-56,-68
2021-03-16 17:12:40,-57,-51,-56,-68
2021-03-16 17:12:42,-57,-53,-56,-67
2021-03-16 17:12:44,-56,-52,-57,-67
2021-03-16 17:12:47,-57,-51,-56,-68
2021-03-16 17:12:49,-58,-48,-56,-67
2021-03-16 17:12:52,-58,-51,-57,-68
2021-03-16 17:12:54,-58,-52,-56,-67
2021-03-16 17:12:57,-57,-51,-56,-68
2021-03-16 17:12:59,-56,-51,-56,-68

