"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 11:13:00,-58,-58,-57,-66
2021-03-15 11:13:04,-56,-59,-58,-65
2021-03-15 11:13:05,-58,-59,-55,-65
2021-03-15 11:13:09,-59,-58,-58,-65
2021-03-15 11:13:10,-58,-58,-57,-65
2021-03-15 11:13:12,-58,-59,-57,-66
2021-03-15 11:13:15,-57,-58,-58,-66
2021-03-15 11:13:17,-57,-59,-59,-65
2021-03-15 11:13:21,-57,-58,-58,-66
2021-03-15 11:13:23,-58,-59,-58,-66
2021-03-15 11:13:25,-57,-58,-58,-66
2021-03-15 11:13:27,-56,-60,-58,-66
2021-03-15 11:13:30,-58,-59,-59,-65
2021-03-15 11:13:32,-57,-60,-58,-66
2021-03-15 11:13:35,-58,-59,-58,-66
2021-03-15 11:13:37,-57,-60,-57,-65
2021-03-15 11:13:41,-58,-60,-57,-66
2021-03-15 11:14:02,-57,-58,-58,-65
2021-03-15 11:14:04,-57,-59,-54,-65
2021-03-15 11:14:10,-58,-60,-58,-66
2021-03-15 11:14:10,-58,-59,-58,-65
2021-03-15 11:14:11,-58,-58,-55,-65
2021-03-15 11:14:23,-58,-59,-57,-66
2021-03-15 11:14:23,-58,-59,-58,-65
2021-03-15 11:14:23,-56,-59,-58,-66
2021-03-15 11:14:24,-57,-59,-55,-65
2021-03-15 11:14:26,-58,-58,-54,-66
2021-03-15 11:14:30,-58,-59,-59,-66
2021-03-15 11:14:39,-58,-58,-57,-65
2021-03-15 11:14:39,-57,-59,-56,-65
2021-03-15 11:14:39,-58,-58,-57,-66
2021-03-15 11:14:39,-58,-59,-54,-66
2021-03-15 11:14:41,-57,-59,-56,-66
2021-03-15 11:14:43,-58,-58,-57,-65
2021-03-15 11:14:46,-55,-59,-56,-65
2021-03-15 11:14:48,-58,-59,-58,-66
2021-03-15 11:14:51,-57,-60,-58,-66
2021-03-15 11:14:53,-58,-58,-57,-66
2021-03-15 11:14:56,-58,-59,-57,-66
2021-03-15 11:14:58,-58,-59,-57,-67

