"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 16:57:30,-62,-51,-57,-61
2021-03-18 16:57:32,-61,-52,-55,-60
2021-03-18 16:57:35,-61,-52,-57,-61
2021-03-18 16:57:38,-62,-51,-55,-60
2021-03-18 16:57:40,-61,-52,-56,-60
2021-03-18 16:57:43,-62,-50,-57,-59
2021-03-18 16:57:46,-61,-52,-57,-61
2021-03-18 16:57:49,-61,-51,-56,-61
2021-03-18 16:57:51,-61,-51,-56,-60
2021-03-18 16:57:54,-61,-52,-57,-62
2021-03-18 16:57:57,-61,-52,-57,-60
2021-03-18 16:57:59,-61,-51,-57,-60
2021-03-18 16:58:02,-61,-52,-57,-60
2021-03-18 16:58:04,-61,-52,-57,-61
2021-03-18 16:58:07,-60,-52,-57,-60
2021-03-18 16:58:09,-61,-52,-55,-61
2021-03-18 16:58:12,-61,-52,-55,-61
2021-03-18 16:58:15,-60,-50,-55,-60
2021-03-18 16:58:17,-61,-52,-55,-61
2021-03-18 16:58:20,-61,-51,-55,-58
2021-03-18 16:58:23,-61,-50,-57,-60
2021-03-18 16:58:25,-61,-53,-57,-62
2021-03-18 16:58:28,-61,-51,-56,-60
2021-03-18 16:58:31,-61,-51,-57,-61
2021-03-18 16:58:33,-61,-52,-57,-61
2021-03-18 16:58:44,-61,-53,-58,-62
2021-03-18 16:58:44,-61,-52,-57,-59
2021-03-18 16:58:46,-61,-51,-56,-60
2021-03-18 16:58:48,-61,-52,-56,-60
2021-03-18 16:58:51,-61,-50,-57,-61
2021-03-18 16:58:54,-61,-52,-56,-60
2021-03-18 16:58:56,-61,-52,-57,-62
2021-03-18 16:58:59,-61,-52,-57,-60
2021-03-18 16:59:09,-60,-52,-57,-57
2021-03-18 16:59:09,-61,-51,-56,-60
2021-03-18 16:59:09,-61,-50,-57,-61
2021-03-18 16:59:11,-61,-52,-57,-60
2021-03-18 16:59:12,-61,-52,-57,-60
2021-03-18 16:59:15,-61,-51,-57,-61
2021-03-18 16:59:18,-61,-51,-57,-61
2021-03-18 16:59:20,-61,-51,-55,-60
2021-03-18 16:59:23,-61,-51,-58,-61
2021-03-18 16:59:25,-60,-51,-56,-60
2021-03-18 16:59:28,-61,-51,-57,-60

