"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 17:49:45,-53,-64,-45,-49
2021-03-18 17:49:45,-53,-65,-44,-48
2021-03-18 17:49:45,-52,-64,-44,-49
2021-03-18 17:49:51,-53,-65,-46,-49
2021-03-18 17:49:55,-52,-65,-45,-48
2021-03-18 17:49:55,-53,-62,-46,-47
2021-03-18 17:49:58,-53,-63,-45,-50
2021-03-18 17:50:00,-53,-63,-45,-47
2021-03-18 17:50:03,-52,-62,-47,-49
2021-03-18 17:50:05,-53,-64,-46,-48
2021-03-18 17:50:08,-55,-63,-46,-47
2021-03-18 17:50:10,-51,-63,-46,-49
2021-03-18 17:50:13,-53,-62,-46,-49
2021-03-18 17:50:15,-53,-63,-45,-49
2021-03-18 17:50:18,-53,-63,-46,-49
2021-03-18 17:50:20,-53,-63,-46,-49
2021-03-18 17:50:23,-53,-64,-45,-48
2021-03-18 17:50:25,-53,-64,-45,-50
2021-03-18 17:50:28,-52,-63,-46,-49
2021-03-18 17:50:30,-54,-65,-43,-50
2021-03-18 17:50:33,-53,-63,-46,-46
2021-03-18 17:50:35,-53,-63,-43,-49
2021-03-18 17:50:38,-53,-62,-45,-49
2021-03-18 17:50:40,-53,-63,-46,-49
2021-03-18 17:50:44,-53,-64,-46,-46
2021-03-18 17:50:45,-54,-64,-45,-49
2021-03-18 17:50:48,-52,-63,-46,-49
2021-03-18 17:50:50,-53,-64,-44,-47
2021-03-18 17:50:53,-54,-63,-43,-50
2021-03-18 17:50:56,-53,-63,-46,-49
2021-03-18 17:50:58,-53,-65,-47,-48
2021-03-18 17:51:00,-53,-63,-46,-49
2021-03-18 17:51:04,-52,-62,-46,-49
2021-03-18 17:51:06,-52,-65,-46,-49
2021-03-18 17:51:08,-53,-65,-46,-49
2021-03-18 17:51:10,-52,-65,-47,-48
2021-03-18 17:51:13,-53,-63,-46,-50
2021-03-18 17:51:15,-52,-64,-44,-49
2021-03-18 17:51:18,-53,-64,-46,-49
2021-03-18 17:51:21,-53,-65,-47,-49
2021-03-18 17:51:23,-52,-66,-45,-48
2021-03-18 17:51:25,-53,-62,-43,-49
2021-03-18 17:51:29,-53,-64,-46,-51

