"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 17:13:59,-59,-56,-62,-25
2021-03-15 17:14:02,-58,-54,-62,-25
2021-03-15 17:14:04,-58,-53,-62,-25
2021-03-15 17:14:07,-58,-56,-62,-26
2021-03-15 17:14:09,-59,-55,-63,-25
2021-03-15 17:14:16,-58,-56,-64,-25
2021-03-15 17:14:16,-58,-57,-63,-25
2021-03-15 17:14:16,-59,-57,-63,-25
2021-03-15 17:14:18,-59,-56,-62,-25
2021-03-15 17:14:20,-58,-56,-63,-26
2021-03-15 17:14:23,-58,-57,-63,-25
2021-03-15 17:14:25,-57,-56,-63,-25
2021-03-15 17:14:27,-58,-56,-62,-25
2021-03-15 17:14:30,-59,-56,-63,-25
2021-03-15 17:14:32,-58,-56,-63,-25
2021-03-15 17:14:35,-58,-56,-63,-26
2021-03-15 17:14:37,-58,-56,-62,-25
2021-03-15 17:14:42,-58,-53,-63,-25
2021-03-15 17:14:44,-56,-56,-63,-25
2021-03-15 17:14:46,-59,-55,-61,-25
2021-03-15 17:14:49,-60,-58,-63,-25
2021-03-15 17:14:51,-58,-56,-63,-25
2021-03-15 17:14:51,-59,-56,-63,-25
2021-03-15 17:14:54,-59,-57,-62,-25
2021-03-15 17:14:56,-59,-54,-63,-25
2021-03-15 17:14:58,-59,-55,-63,-25
2021-03-15 17:15:03,-59,-55,-63,-25
2021-03-15 17:15:05,-59,-56,-63,-25
2021-03-15 17:15:07,-58,-54,-63,-25
2021-03-15 17:15:09,-59,-52,-63,-25
2021-03-15 17:15:12,-58,-56,-63,-26
2021-03-15 17:15:14,-59,-56,-63,-25
2021-03-15 17:15:14,-59,-54,-63,-25
2021-03-15 17:15:16,-58,-56,-63,-26
2021-03-15 17:15:19,-57,-56,-63,-25
2021-03-15 17:15:23,-58,-56,-63,-25
2021-03-15 17:15:26,-57,-56,-63,-25
2021-03-15 17:15:26,-59,-53,-63,-25
2021-03-15 17:15:28,-58,-56,-62,-26
2021-03-15 17:15:31,-58,-56,-60,-25
2021-03-15 17:15:33,-59,-57,-63,-25
2021-03-15 17:15:35,-58,-56,-63,-25
2021-03-15 17:15:37,-58,-55,-63,-25
2021-03-15 17:15:40,-56,-56,-60,-25
2021-03-15 17:15:47,-58,-59,-64,-25
2021-03-15 17:15:47,-59,-56,-64,-25
2021-03-15 17:15:49,-59,-56,-63,-25
2021-03-15 17:15:51,-59,-56,-63,-25
2021-03-15 17:15:54,-55,-56,-63,-25
2021-03-15 17:15:56,-58,-56,-62,-25
2021-03-15 17:15:58,-59,-56,-62,-26
2021-03-15 17:16:01,-59,-55,-62,-25

