"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-15 16:17:00,-57,-51,-56,-65
2021-03-15 16:17:03,-56,-55,-57,-65
2021-03-15 16:17:05,-57,-52,-55,-65
2021-03-15 16:17:08,-57,-55,-56,-64
2021-03-15 16:17:10,-57,-54,-55,-65
2021-03-15 16:17:13,-57,-56,-55,-65
2021-03-15 16:17:18,-57,-54,-56,-65
2021-03-15 16:17:20,-56,-52,-52,-65
2021-03-15 16:17:23,-57,-55,-56,-65
2021-03-15 16:17:25,-57,-52,-55,-65
2021-03-15 16:17:28,-57,-54,-55,-66
2021-03-15 16:17:30,-57,-52,-55,-66
2021-03-15 16:17:33,-58,-54,-55,-65
2021-03-15 16:17:35,-57,-54,-54,-65
2021-03-15 16:17:38,-57,-54,-55,-65
2021-03-15 16:17:40,-57,-55,-55,-66
2021-03-15 16:17:43,-57,-52,-56,-67
2021-03-15 16:17:45,-58,-55,-52,-65
2021-03-15 16:17:48,-58,-55,-55,-65
2021-03-15 16:17:50,-57,-55,-55,-65
2021-03-15 16:17:52,-57,-55,-55,-65
2021-03-15 16:17:55,-57,-53,-55,-65
2021-03-15 16:17:57,-57,-54,-56,-65
2021-03-15 16:18:03,-58,-54,-55,-64
2021-03-15 16:18:03,-57,-54,-55,-65
2021-03-15 16:18:05,-57,-54,-56,-66
2021-03-15 16:18:08,-57,-54,-57,-65
2021-03-15 16:18:10,-57,-52,-56,-65
2021-03-15 16:18:13,-57,-56,-55,-65
2021-03-15 16:18:15,-57,-52,-55,-65
2021-03-15 16:18:18,-57,-53,-55,-65
2021-03-15 16:18:20,-57,-55,-55,-65
2021-03-15 16:18:23,-56,-55,-54,-65
2021-03-15 16:18:25,-57,-55,-55,-66
2021-03-15 16:18:28,-57,-55,-55,-64
2021-03-15 16:18:30,-57,-55,-55,-64
2021-03-15 16:18:33,-57,-55,-55,-65
2021-03-15 16:18:35,-56,-55,-55,-65
2021-03-15 16:18:38,-57,-55,-55,-65
2021-03-15 16:18:40,-57,-54,-55,-64
2021-03-15 16:18:43,-57,-52,-55,-65
2021-03-15 16:18:45,-57,-54,-55,-65
2021-03-15 16:18:50,-56,-55,-55,-65
2021-03-15 16:18:53,-57,-53,-56,-65
2021-03-15 16:18:53,-57,-55,-57,-65
2021-03-15 16:18:55,-57,-55,-54,-64
2021-03-15 16:18:58,-57,-54,-55,-65

