"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-20 08:14:02,-68,-53,-54,-57
2021-03-20 08:14:04,-68,-49,-55,-57
2021-03-20 08:14:07,-67,-51,-54,-57
2021-03-20 08:14:09,-67,-52,-57,-57
2021-03-20 08:14:11,-67,-52,-54,-57
2021-03-20 08:14:14,-68,-51,-54,-57
2021-03-20 08:14:18,-67,-52,-54,-57
2021-03-20 08:14:19,-68,-52,-53,-57
2021-03-20 08:14:22,-66,-51,-54,-56
2021-03-20 08:14:24,-67,-52,-54,-57
2021-03-20 08:14:27,-67,-53,-55,-57
2021-03-20 08:14:29,-67,-53,-54,-57
2021-03-20 08:14:32,-67,-52,-54,-57
2021-03-20 08:14:34,-68,-53,-54,-57
2021-03-20 08:14:36,-67,-53,-54,-57
2021-03-20 08:14:39,-67,-52,-54,-57
2021-03-20 08:14:41,-68,-54,-54,-58
2021-03-20 08:14:44,-68,-52,-53,-57
2021-03-20 08:14:47,-68,-53,-54,-57
2021-03-20 08:14:49,-68,-53,-54,-58
2021-03-20 08:14:51,-68,-52,-54,-58
2021-03-20 08:14:54,-68,-52,-54,-59
2021-03-20 08:14:56,-68,-52,-54,-57
2021-03-20 08:14:59,-67,-52,-54,-57
2021-03-20 08:15:01,-67,-52,-55,-57
2021-03-20 08:15:04,-68,-51,-54,-58
2021-03-20 08:15:06,-67,-52,-54,-57
2021-03-20 08:15:09,-66,-52,-52,-57
2021-03-20 08:15:11,-67,-52,-54,-57
2021-03-20 08:15:15,-67,-52,-54,-58
2021-03-20 08:15:16,-68,-52,-53,-57
2021-03-20 08:15:18,-67,-55,-54,-57
2021-03-20 08:15:23,-68,-52,-54,-57
2021-03-20 08:15:23,-67,-52,-54,-57
2021-03-20 08:15:27,-67,-52,-54,-57
2021-03-20 08:15:28,-68,-53,-54,-57
2021-03-20 08:15:31,-67,-52,-54,-57
2021-03-20 08:15:33,-66,-52,-54,-57
2021-03-20 08:15:35,-67,-53,-54,-57
2021-03-20 08:15:39,-67,-52,-54,-58
2021-03-20 08:15:40,-67,-52,-54,-57
2021-03-20 08:15:43,-68,-50,-54,-57
2021-03-20 08:15:46,-67,-52,-54,-57
2021-03-20 08:15:48,-67,-52,-53,-57
2021-03-20 08:15:50,-68,-52,-54,-57
2021-03-20 08:15:53,-68,-52,-52,-57
2021-03-20 08:15:55,-68,-53,-54,-57
2021-03-20 08:15:58,-67,-53,-54,-58

