"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-20 08:46:01,-56,-65,-59,-51
2021-03-20 08:46:05,-56,-64,-64,-51
2021-03-20 08:46:08,-56,-65,-63,-51
2021-03-20 08:46:08,-58,-64,-64,-52
2021-03-20 08:46:10,-57,-64,-64,-52
2021-03-20 08:46:14,-58,-64,-64,-50
2021-03-20 08:46:15,-56,-64,-61,-51
2021-03-20 08:46:17,-55,-64,-64,-50
2021-03-20 08:46:19,-56,-64,-62,-51
2021-03-20 08:46:30,-56,-65,-64,-51
2021-03-20 08:46:30,-57,-64,-64,-51
2021-03-20 08:46:30,-58,-63,-63,-51
2021-03-20 08:46:31,-57,-63,-64,-50
2021-03-20 08:46:33,-56,-64,-63,-52
2021-03-20 08:46:35,-55,-64,-63,-52
2021-03-20 08:46:38,-57,-64,-63,-50
2021-03-20 08:46:40,-57,-63,-64,-50
2021-03-20 08:46:44,-53,-65,-64,-51
2021-03-20 08:46:44,-57,-64,-63,-50
2021-03-20 08:46:47,-57,-64,-61,-51
2021-03-20 08:46:49,-57,-64,-61,-51
2021-03-20 08:46:51,-55,-65,-64,-51
2021-03-20 08:46:54,-57,-65,-63,-51
2021-03-20 08:46:56,-56,-64,-64,-51
2021-03-20 08:46:58,-57,-64,-64,-50
2021-03-20 08:47:01,-57,-64,-64,-51
2021-03-20 08:47:03,-53,-65,-64,-51
2021-03-20 08:47:06,-57,-64,-64,-49
2021-03-20 08:47:08,-56,-65,-64,-51
2021-03-20 08:47:10,-57,-63,-63,-52
2021-03-20 08:47:12,-58,-64,-63,-51
2021-03-20 08:47:14,-57,-65,-64,-51
2021-03-20 08:47:17,-56,-64,-63,-50
2021-03-20 08:47:20,-56,-64,-64,-51
2021-03-20 08:47:21,-56,-64,-63,-52
2021-03-20 08:47:24,-53,-65,-63,-51
2021-03-20 08:47:26,-56,-64,-64,-51
2021-03-20 08:47:28,-57,-63,-63,-50
2021-03-20 08:47:31,-57,-65,-64,-50
2021-03-20 08:47:33,-57,-63,-63,-51
2021-03-20 08:47:35,-57,-64,-64,-51
2021-03-20 08:47:37,-57,-65,-64,-52
2021-03-20 08:47:40,-56,-64,-63,-51
2021-03-20 08:47:42,-56,-64,-64,-50
2021-03-20 08:47:44,-56,-64,-64,-51
2021-03-20 08:47:46,-58,-64,-60,-52
2021-03-20 08:47:49,-56,-64,-63,-50
2021-03-20 08:47:51,-55,-65,-64,-51
2021-03-20 08:47:53,-58,-64,-64,-50
2021-03-20 08:47:55,-55,-64,-64,-51
2021-03-20 08:47:57,-55,-64,-64,-50

