"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-20 08:11:01,-56,-57,-56,-53
2021-03-20 08:11:04,-56,-57,-57,-51
2021-03-20 08:11:07,-54,-58,-58,-51
2021-03-20 08:11:09,-57,-58,-56,-52
2021-03-20 08:11:12,-53,-57,-57,-52
2021-03-20 08:11:14,-56,-57,-57,-51
2021-03-20 08:11:17,-55,-56,-57,-52
2021-03-20 08:11:20,-57,-56,-57,-52
2021-03-20 08:11:22,-56,-57,-57,-50
2021-03-20 08:11:26,-56,-57,-56,-51
2021-03-20 08:11:27,-56,-57,-57,-51
2021-03-20 08:11:30,-54,-57,-56,-52
2021-03-20 08:11:33,-56,-57,-54,-50
2021-03-20 08:11:37,-57,-57,-57,-52
2021-03-20 08:11:38,-56,-57,-57,-52
2021-03-20 08:11:41,-53,-56,-54,-52
2021-03-20 08:11:44,-54,-58,-57,-53
2021-03-20 08:11:46,-54,-58,-57,-53
2021-03-20 08:11:50,-52,-57,-57,-51
2021-03-20 08:11:53,-55,-58,-57,-52
2021-03-20 08:11:54,-57,-57,-57,-52
2021-03-20 08:11:56,-55,-57,-56,-52
2021-03-20 08:11:59,-55,-57,-58,-52
2021-03-20 08:12:02,-54,-57,-56,-52
2021-03-20 08:12:05,-56,-56,-57,-51
2021-03-20 08:12:08,-55,-57,-55,-52
2021-03-20 08:12:10,-56,-57,-57,-52
2021-03-20 08:12:13,-56,-57,-56,-52
2021-03-20 08:12:15,-54,-57,-57,-52
2021-03-20 08:12:18,-53,-57,-57,-51
2021-03-20 08:12:21,-53,-57,-57,-52
2021-03-20 08:12:23,-56,-57,-57,-52
2021-03-20 08:12:27,-57,-57,-57,-52
2021-03-20 08:12:29,-56,-57,-57,-51
2021-03-20 08:12:31,-54,-57,-53,-58
2021-03-20 08:12:34,-57,-57,-57,-51
2021-03-20 08:12:37,-55,-58,-57,-51
2021-03-20 08:12:40,-54,-57,-57,-52
2021-03-20 08:12:42,-57,-57,-57,-54
2021-03-20 08:12:45,-56,-56,-57,-54
2021-03-20 08:12:48,-55,-57,-57,-52
2021-03-20 08:12:50,-57,-57,-57,-52
2021-03-20 08:12:53,-52,-57,-57,-52
2021-03-20 08:12:57,-56,-56,-57,-51
2021-03-20 08:12:58,-56,-57,-57,-51

