"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-20 07:34:45,-61,-48,-54,-67
2021-03-20 07:34:45,-61,-47,-55,-68
2021-03-20 07:34:45,-61,-48,-55,-65
2021-03-20 07:34:47,-61,-49,-56,-67
2021-03-20 07:34:50,-61,-48,-55,-67
2021-03-20 07:34:52,-60,-47,-55,-65
2021-03-20 07:34:55,-61,-48,-55,-66
2021-03-20 07:34:57,-61,-48,-55,-68
2021-03-20 07:35:00,-61,-48,-55,-65
2021-03-20 07:35:03,-62,-47,-55,-66
2021-03-20 07:35:05,-76,-48,-55,-65
2021-03-20 07:35:08,-61,-47,-52,-67
2021-03-20 07:35:10,-61,-49,-56,-66
2021-03-20 07:35:13,-61,-49,-55,-66
2021-03-20 07:35:15,-62,-49,-55,-65
2021-03-20 07:35:18,-60,-49,-54,-67
2021-03-20 07:35:20,-61,-45,-55,-65
2021-03-20 07:35:22,-61,-48,-55,-65
2021-03-20 07:35:25,-61,-47,-55,-66
2021-03-20 07:35:27,-62,-48,-55,-66
2021-03-20 07:35:30,-60,-48,-55,-65
2021-03-20 07:35:33,-66,-48,-55,-66
2021-03-20 07:35:35,-59,-48,-56,-67
2021-03-20 07:35:38,-60,-47,-55,-64
2021-03-20 07:35:40,-61,-48,-55,-67
2021-03-20 07:35:43,-59,-48,-55,-66
2021-03-20 07:35:45,-60,-48,-55,-68
2021-03-20 07:35:48,-61,-48,-57,-65
2021-03-20 07:35:50,-61,-48,-55,-66
2021-03-20 07:35:54,-61,-47,-55,-67
2021-03-20 07:35:57,-61,-47,-55,-66
2021-03-20 07:35:58,-59,-48,-55,-68
2021-03-20 07:36:00,-61,-49,-55,-67
2021-03-20 07:36:03,-62,-47,-55,-67
2021-03-20 07:36:05,-61,-48,-55,-67
2021-03-20 07:36:08,-62,-48,-56,-65
2021-03-20 07:36:10,-61,-48,-54,-67
2021-03-20 07:36:13,-61,-48,-56,-66
2021-03-20 07:36:15,-61,-49,-55,-67
2021-03-20 07:36:19,-61,-48,-54,-66
2021-03-20 07:36:22,-61,-48,-55,-68
2021-03-20 07:36:23,-59,-48,-55,-66
2021-03-20 07:36:25,-61,-48,-55,-64
2021-03-20 07:36:28,-61,-48,-55,-65

