"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 13:17:04,-62,-57,-49,-52
2021-03-16 13:17:07,-61,-57,-49,-52
2021-03-16 13:17:09,-61,-57,-49,-50
2021-03-16 13:17:12,-62,-56,-49,-52
2021-03-16 13:17:15,-63,-57,-49,-52
2021-03-16 13:17:17,-62,-57,-49,-52
2021-03-16 13:17:19,-62,-57,-48,-52
2021-03-16 13:17:22,-62,-55,-48,-52
2021-03-16 13:17:27,-62,-57,-47,-52
2021-03-16 13:17:29,-63,-57,-49,-52
2021-03-16 13:17:32,-60,-57,-48,-52
2021-03-16 13:17:34,-61,-57,-49,-52
2021-03-16 13:17:37,-61,-57,-48,-52
2021-03-16 13:17:39,-62,-57,-48,-52
2021-03-16 13:17:39,-62,-57,-48,-52
2021-03-16 13:17:42,-62,-55,-47,-52
2021-03-16 13:17:44,-63,-57,-48,-51
2021-03-16 13:17:49,-61,-57,-49,-52
2021-03-16 13:17:52,-63,-55,-49,-51
2021-03-16 13:17:54,-62,-57,-49,-51
2021-03-16 13:17:57,-62,-55,-49,-52
2021-03-16 13:17:59,-63,-57,-48,-52
2021-03-16 13:18:02,-62,-57,-49,-52
2021-03-16 13:18:04,-61,-58,-49,-52
2021-03-16 13:18:04,-61,-57,-49,-52
2021-03-16 13:18:07,-61,-57,-48,-52
2021-03-16 13:18:09,-63,-56,-49,-52
2021-03-16 13:18:12,-62,-58,-49,-52
2021-03-16 13:18:19,-62,-57,-47,-52
2021-03-16 13:18:19,-61,-57,-48,-52
2021-03-16 13:18:19,-62,-57,-49,-52
2021-03-16 13:18:22,-63,-56,-49,-52
2021-03-16 13:18:24,-61,-55,-47,-52
2021-03-16 13:18:27,-63,-56,-48,-52
2021-03-16 13:18:29,-62,-57,-49,-52
2021-03-16 13:18:32,-62,-57,-49,-52
2021-03-16 13:18:34,-61,-57,-50,-52
2021-03-16 13:18:40,-62,-57,-49,-51
2021-03-16 13:18:42,-62,-56,-49,-52
2021-03-16 13:18:45,-62,-57,-48,-52
2021-03-16 13:18:47,-62,-56,-47,-52
2021-03-16 13:18:50,-62,-57,-49,-52
2021-03-16 13:18:52,-62,-57,-47,-52
2021-03-16 13:18:55,-63,-57,-48,-52

