"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 12:59:02,-59,-67,-41,-61
2021-03-16 12:59:05,-60,-68,-43,-60
2021-03-16 12:59:08,-64,-68,-43,-60
2021-03-16 12:59:10,-60,-67,-44,-61
2021-03-16 12:59:13,-61,-67,-43,-60
2021-03-16 12:59:16,-61,-67,-42,-61
2021-03-16 12:59:19,-60,-68,-43,-60
2021-03-16 12:59:21,-60,-66,-43,-60
2021-03-16 12:59:24,-61,-68,-42,-60
2021-03-16 12:59:26,-62,-66,-42,-60
2021-03-16 12:59:29,-61,-67,-43,-60
2021-03-16 12:59:32,-61,-67,-43,-58
2021-03-16 12:59:34,-60,-66,-43,-60
2021-03-16 12:59:37,-60,-67,-43,-61
2021-03-16 12:59:40,-61,-68,-43,-57
2021-03-16 12:59:42,-59,-68,-42,-61
2021-03-16 12:59:45,-61,-67,-43,-61
2021-03-16 12:59:48,-61,-67,-42,-59
2021-03-16 12:59:51,-60,-68,-43,-60
2021-03-16 12:59:53,-61,-67,-43,-61
2021-03-16 12:59:56,-62,-67,-43,-57
2021-03-16 12:59:59,-62,-67,-43,-60
2021-03-16 13:00:01,-61,-67,-43,-60
2021-03-16 13:00:04,-61,-67,-42,-61
2021-03-16 13:00:07,-62,-67,-43,-60
2021-03-16 13:00:09,-60,-66,-44,-61
2021-03-16 13:00:12,-61,-67,-43,-60
2021-03-16 13:00:15,-61,-67,-43,-61
2021-03-16 13:00:18,-61,-67,-42,-61
2021-03-16 13:00:20,-61,-67,-42,-60
2021-03-16 13:00:23,-61,-67,-43,-59
2021-03-16 13:00:25,-61,-67,-43,-59
2021-03-16 13:00:28,-62,-67,-43,-60
2021-03-16 13:00:30,-60,-68,-43,-60
2021-03-16 13:00:33,-61,-68,-43,-61
2021-03-16 13:00:35,-60,-66,-43,-60
2021-03-16 13:00:38,-60,-67,-43,-60
2021-03-16 13:00:41,-59,-68,-42,-61
2021-03-16 13:00:43,-60,-67,-43,-58
2021-03-16 13:00:46,-62,-67,-42,-61
2021-03-16 13:00:49,-62,-67,-43,-61
2021-03-16 13:00:51,-61,-69,-43,-60
2021-03-16 13:00:51,-62,-67,-42,-60
2021-03-16 13:00:54,-59,-67,-42,-61
2021-03-16 13:00:57,-62,-68,-43,-61
2021-03-16 13:00:59,-61,-67,-43,-61

