"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-16 12:05:00,-47,-61,-58,-59
2021-03-16 12:05:03,-46,-61,-56,-59
2021-03-16 12:05:05,-47,-60,-58,-58
2021-03-16 12:05:10,-46,-62,-58,-58
2021-03-16 12:05:10,-48,-61,-58,-59
2021-03-16 12:05:13,-47,-62,-58,-59
2021-03-16 12:05:15,-48,-62,-58,-57
2021-03-16 12:05:18,-47,-62,-58,-59
2021-03-16 12:05:21,-48,-62,-56,-58
2021-03-16 12:05:26,-47,-61,-57,-57
2021-03-16 12:05:28,-47,-62,-58,-60
2021-03-16 12:05:30,-48,-60,-57,-59
2021-03-16 12:05:33,-47,-61,-58,-59
2021-03-16 12:05:36,-47,-61,-58,-58
2021-03-16 12:05:38,-48,-61,-55,-58
2021-03-16 12:05:41,-47,-62,-58,-59
2021-03-16 12:05:47,-47,-60,-55,-59
2021-03-16 12:05:47,-47,-62,-57,-58
2021-03-16 12:05:48,-47,-61,-59,-58
2021-03-16 12:05:51,-47,-61,-58,-59
2021-03-16 12:05:54,-46,-61,-58,-59
2021-03-16 12:05:56,-46,-61,-57,-59
2021-03-16 12:05:59,-45,-61,-55,-59
2021-03-16 12:06:01,-47,-61,-58,-59
2021-03-16 12:06:04,-47,-62,-54,-59
2021-03-16 12:06:09,-47,-61,-58,-59
2021-03-16 12:06:11,-47,-61,-58,-58
2021-03-16 12:06:14,-46,-60,-58,-58
2021-03-16 12:06:14,-48,-60,-59,-56
2021-03-16 12:06:17,-48,-61,-55,-59
2021-03-16 12:06:19,-48,-61,-58,-59
2021-03-16 12:06:22,-48,-62,-58,-59
2021-03-16 12:06:24,-47,-61,-58,-58
2021-03-16 12:06:29,-47,-62,-58,-59
2021-03-16 12:06:32,-46,-61,-58,-58
2021-03-16 12:06:35,-45,-62,-58,-58
2021-03-16 12:06:37,-47,-61,-55,-58
2021-03-16 12:06:40,-48,-62,-58,-58
2021-03-16 12:06:40,-48,-61,-58,-59
2021-03-16 12:06:42,-47,-61,-59,-59
2021-03-16 12:06:45,-47,-61,-56,-59
2021-03-16 12:06:47,-46,-61,-58,-57
2021-03-16 12:06:50,-47,-61,-58,-59
2021-03-16 12:06:52,-47,-60,-55,-59
2021-03-16 12:06:55,-45,-61,-58,-59
2021-03-16 12:06:57,-47,-59,-58,-59

