"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 12:46:10,-60,-65,-59,-47
2021-03-18 12:46:19,-61,-65,-59,-46
2021-03-18 12:46:19,-61,-64,-58,-48
2021-03-18 12:46:20,-62,-65,-59,-46
2021-03-18 12:46:22,-59,-65,-60,-46
2021-03-18 12:46:24,-61,-65,-58,-48
2021-03-18 12:46:27,-61,-65,-58,-47
2021-03-18 12:46:29,-61,-65,-59,-45
2021-03-18 12:46:31,-61,-66,-57,-47
2021-03-18 12:46:33,-61,-65,-59,-46
2021-03-18 12:46:36,-61,-64,-59,-47
2021-03-18 12:46:38,-62,-65,-59,-46
2021-03-18 12:46:40,-60,-65,-58,-46
2021-03-18 12:46:43,-61,-64,-59,-46
2021-03-18 12:46:45,-61,-64,-58,-47
2021-03-18 12:46:47,-61,-65,-58,-46
2021-03-18 12:46:50,-61,-65,-59,-47
2021-03-18 12:46:52,-61,-64,-59,-47
2021-03-18 12:46:54,-60,-65,-59,-48
2021-03-18 12:46:56,-61,-65,-59,-49
2021-03-18 12:46:59,-61,-65,-59,-44
2021-03-18 12:47:01,-61,-65,-58,-47
2021-03-18 12:47:03,-61,-64,-60,-47
2021-03-18 12:47:07,-61,-65,-59,-48
2021-03-18 12:47:16,-61,-64,-57,-46
2021-03-18 12:47:16,-61,-65,-57,-46
2021-03-18 12:47:16,-60,-65,-59,-46
2021-03-18 12:47:18,-61,-65,-59,-47
2021-03-18 12:47:20,-62,-65,-59,-46
2021-03-18 12:47:22,-61,-65,-58,-47
2021-03-18 12:47:26,-62,-65,-59,-47
2021-03-18 12:47:26,-59,-64,-58,-47
2021-03-18 12:47:29,-62,-65,-59,-47
2021-03-18 12:47:33,-61,-65,-59,-45
2021-03-18 12:47:33,-61,-65,-58,-46
2021-03-18 12:47:35,-60,-65,-59,-46
2021-03-18 12:47:38,-60,-65,-59,-46
2021-03-18 12:47:40,-61,-64,-58,-46
2021-03-18 12:47:42,-61,-64,-58,-47
2021-03-18 12:47:45,-61,-65,-58,-47
2021-03-18 12:47:47,-61,-65,-58,-47
2021-03-18 12:47:49,-61,-65,-57,-46
2021-03-18 12:47:52,-61,-66,-58,-47
2021-03-18 12:47:54,-61,-65,-57,-46
2021-03-18 12:47:56,-62,-65,-58,-46
2021-03-18 12:47:58,-61,-66,-59,-46
2021-03-18 12:48:01,-61,-65,-57,-47
2021-03-18 12:48:03,-62,-65,-59,-48
2021-03-18 12:48:05,-61,-64,-58,-46
2021-03-18 12:48:08,-62,-65,-58,-47

