"Time","Router 1","Router 2","Router 3","Router 4"
2021-03-18 12:30:12,-55,-59,-55,-58
2021-03-18 12:30:14,-55,-59,-56,-58
2021-03-18 12:30:17,-55,-59,-56,-58
2021-03-18 12:30:20,-56,-59,-55,-58
2021-03-18 12:30:22,-56,-59,-55,-59
2021-03-18 12:30:25,-54,-59,-55,-58
2021-03-18 12:30:28,-56,-59,-55,-58
2021-03-18 12:30:31,-54,-59,-53,-59
2021-03-18 12:30:33,-55,-58,-55,-60
2021-03-18 12:30:35,-55,-58,-55,-58
2021-03-18 12:30:38,-57,-59,-56,-56
2021-03-18 12:30:41,-56,-60,-56,-58
2021-03-18 12:30:43,-56,-58,-55,-58
2021-03-18 12:30:46,-56,-59,-53,-59
2021-03-18 12:30:49,-56,-60,-56,-59
2021-03-18 12:30:51,-56,-60,-57,-58
2021-03-18 12:30:54,-56,-59,-56,-58
2021-03-18 12:30:56,-55,-59,-55,-58
2021-03-18 12:30:59,-56,-59,-57,-58
2021-03-18 12:31:02,-55,-59,-53,-58
2021-03-18 12:31:05,-56,-58,-61,-58
2021-03-18 12:31:07,-55,-59,-56,-58
2021-03-18 12:31:10,-55,-59,-55,-58
2021-03-18 12:31:12,-55,-59,-55,-59
2021-03-18 12:31:15,-57,-60,-51,-58
2021-03-18 12:31:17,-53,-59,-55,-58
2021-03-18 12:31:20,-56,-60,-55,-59
2021-03-18 12:31:23,-55,-59,-55,-58
2021-03-18 12:31:26,-55,-59,-55,-58
2021-03-18 12:31:28,-55,-58,-55,-57
2021-03-18 12:31:31,-55,-59,-54,-59
2021-03-18 12:31:33,-55,-59,-56,-58
2021-03-18 12:31:36,-55,-59,-55,-58
2021-03-18 12:31:38,-54,-59,-56,-58
2021-03-18 12:31:41,-55,-59,-56,-60
2021-03-18 12:31:44,-54,-59,-54,-58
2021-03-18 12:31:46,-55,-58,-55,-59
2021-03-18 12:31:49,-57,-59,-55,-58
2021-03-18 12:31:52,-56,-59,-54,-58
2021-03-18 12:31:54,-55,-59,-55,-58
2021-03-18 12:31:57,-56,-59,-55,-58
2021-03-18 12:31:59,-54,-59,-56,-57
2021-03-18 12:32:02,-55,-59,-56,-58
2021-03-18 12:32:04,-56,-59,-55,-54
2021-03-18 12:32:07,-56,-59,-57,-59

